TEAM 1 :
Vaishnavi, jdhg737, 9002352993
Daathwi, cs20b1031, 9562839050

TEAM 2 :
Isha, jhfh495859n, 3489204958
Sunitha, jhb2273mn, 9834854349

TEAM 3 :
Abhigna, ieti995jnl, 940035959
Alekhya, kduh7383h, 9834958344

TEAM 4 :
Sajidha, woieu74h, 4744384929
Lalitha, oiii8393nh, 9897484599

TEAM 5 :
Hema, lijgtij383, 8849899935
amulya, hdfuh738n, 9859694499

TEAM 6 :
Sanjana, irji8495kj, 4888278849
Aditya, me20b1005, 8342059830

TEAM 7 :
Chinmay, ksdfbh888, 7634713493
Priyanka, kjdh843k, 8394228493

TEAM 8 :
Jahnavi, sdhf2233jn, 8237482942
Sidvi, ec20b1031, 9704877479

TEAM 9 :
Susmitha, wehr738eo, 8472853942
Harshitha, lkjdkj36, 0923848239

TEAM 10 :
Sindhu,  lkdfj73893, 1984828540
Harshini, jhfg4243, 8478733433

TEAM 11 :
Samantha, u8342475ik, 8494549959
